SKU,Photo,Brand,Type,Model #,Dial,Product Description,Price,# of links / screw,Paper,Date,Serial #,Box,Status,More Photos,Notes,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
10836,,Cartier,Unworn,WSSA0071,BLUE,SANTOS DE CARTIER WATCH BLUE LARGE SS / LEATHER STRAP,"$7,800.00",Full Links,With Card,2026,XXXX72FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
8870,,Cartier,Unworn,WSSA0076,GRAY,SANTOS DE CARTIER DUAL WATCH GRAY LARGE SS / LEATHER STRAP,"$9,500.00",Full Links,With Card,2025,XXXX65EY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11065,,Cartier,Unworn,WSSA0082,SILVER,SANTOS SS SMALL,"$5,900.00",Full Links,With Card,2025,XXXX95GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10393,,Cartier,Unworn,WSSA0085,SILVER,"SANTOS
DUMONT SS LARGE BLUE LEATHER
STRAP",,Full Links,With Card,2026,XXXX39FY,With Box,Sold,,,,,,,,,,,,,,,,,,,,,,
11112,,Cartier,Unworn,WSSA0085,SILVER,"SANTOS
DUMONT SS LARGE BLUE LEATHER
STRAP","$4,600.00",Full Links,With Card,2026,XXXX88GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11128,,Cartier,Unworn,WSSA0085,SILVER,"SANTOS
DUMONT SS LARGE BLUE LEATHER
STRAP","$4,600.00",Full Links,With Card,2026,XXXX81FY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10871,,Cartier,Unworn,WSSA0086,SILVER,SANTOS CARTIER SS SMALL BLUE LEATHER STRAP,"$4,250.00",Leather Strap,With Card,2026,XXXX68FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10664,,Cartier,Unworn,WSSA0089,SILVER,SANTOS DE CARTIER TITANIUM LARGE,"$10,000.00",Leather / Titanium Strap,With Card,2026,XXXX12FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10686,,Cartier,Unworn,WSSA0089,SILVER,SANTOS DE CARTIER TITANIUM LARGE,"$10,000.00",Leather / Titanium Strap,With Card,2026,XXXX54GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10080,,Cartier,Unworn,WSSA0096,BLACK,"SANTOS DE CARTIER LARGE BLACK, ADLC BEZEL SMARTLINK AND LEATHER STRAP","$7,800.00",Leather / Titanium Strap,With Card,30-Mar-2026,XXXX20FY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10299,,Cartier,Unworn,WSSA0096,BLACK,"SANTOS DE CARTIER LARGE BLACK, ADLC BEZEL SMARTLINK AND LEATHER STRAP","$7,800.00",Leather / Titanium Strap,With Card,,XXXX49FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
